video_title,neg_sentiment_br,neu_sentiment_br,pos_sentiment_br
#sexeducation,0,1,0
365 Days,7,124,14
365 Days: This Day,47,95,20
7 Prisoners,1,4,0
A Boy Called Christmas,0,1,1
A Castle For Christmas,1,3,1
A Classic Horror Story,3,2,1
Ã Fada!,1,2,2
A Perfect Enemy,1,0,1
A Perfect Pairing,3,18,6
A Quiet Place,0,3,3
Afterlife of the Party,0,3,2
Aftermath,0,0,1
All of Us Are Dead: Season 1,73,68,34
AlRawabi School for Girls: Season 1,6,13,7
Anatomy of a Scandal: Limited Series,0,7,4
Arcane: Season 1,182,411,268
Archive 81: Season 1,1,9,5
Army of the Dead,2,4,4
Army of Thieves,2,8,6
As Aventuras de Poliana: Season 1,2,2,0
Atypical: Season 4,21,33,32
Back to 15: Season 1,0,0,2
Bartkowiak,0,1,1
Beauty and the Beast,0,4,3
Beckett,1,4,1
Black Island,1,1,0
Blindspot: Season 1,13,10,11
Blindspot: Season 5,13,10,11
Blood Red Sky,2,3,3
Body Cam,0,5,0
Boruto: Naruto Next Generations: Season 1,3,8,7
Boruto: Naruto Next Generations: Season 2,3,8,7
Bridgerton: Season 1,167,407,182
Bridgerton: Season 2,165,407,184
Brightburn,1,0,1
Brooklyn Nine-Nine: Season 7,4,7,7
Brotherhood: Season 1,1,29,19
Brotherhood: Season 2,1,29,19
Bruised,1,3,2
Bumblebee,2,12,2
Business Proposal: Season 1,14,50,32
CafÃ© con aroma de mujer: Season 1,13,16,12
CÃºmplices de um Resgate: Season 1,2,2,0
Captain Nova,1,0,0
Carinha de Anjo: Season 1,29,987,65
Carrossel,38,194,19
Centauro,4,215,0
Chiquititas,16,161,11
Choose or Die,1,2,0
Cleveland Abduction,0,1,0
Clickbait: Limited Series,33,22,18
Cobra Kai: Season 4,39,136,66
Control Z: Season 2,45,96,22
Cowboy Bebop: Season 1,17,55,42
Crawl,0,2,0
Dangerous,1,8,2
Deep Impact,0,1,1
Don't Look Up,155,297,147
Downsizing,0,0,1
Dynasty: Season 4,35,21,18
Elite: Season 4,131,222,67
Elite: Season 5,131,222,67
Elize Matsunaga: Once Upon a Crime: Season 1,2,2,1
Elves: Season 1,0,1,0
Emily in Paris: Season 2,41,88,53
Enough,2,2,2
Escape Room,5,11,2
Extinct,0,1,0
Faster,0,2,0
Fatherhood,0,4,2
Fever Dream,0,2,0
First Kill,31,51,27
First Kill: Season 1,31,51,27
For Life: Season 1,19,37,21
For Life: Season 2,19,37,21
Fracture,1,0,0
Friendzone,1,4,2
Furioza,2,0,0
Gemini Man,1,0,0
Glamour Girls,1,1,1
Good Girls: Season 4,37,40,49
Gran Torino,0,1,1
Great White,0,1,0
Grey's Anatomy: Season 17,501,515,228
He's All That,1,5,6
Heartland: Season 15,0,5,0
Heartstopper: Season 1,182,560,411
Hellbound: Season 1,19,12,8
Hometown Cha-Cha-Cha: Season 1,33,83,37
Hotel Transylvania 2,0,0,1
How to Sell Drugs Online (Fast): Season 3,0,1,1
Hustle,0,4,1
Hypnotic,3,6,3
Ilhados,3,2,1
In From the Cold: Season 1,0,1,0
Interceptor,5,5,7
IntervenÃ§Ã£o,2,4,0
Intimacy: Season 1,0,5,3
Intrusion,2,3,2
Invasion,22,16,2
Inventing Anna: Limited Series,16,30,22
Is It Cake?: Season 1,3,7,3
Jack Reacher,2,1,1
Kate,2,9,5
Kingdom: Ashin of the North,1,3,1
Kung Fu Panda 3,0,2,0
Last Christmas,1,3,2
Lost in Space: Season 1,4,7,4
Lost in Space: Season 3,4,7,4
Love Hard,1,4,7
Love Is Blind: Brazil: Season 1,8,3,6
Love Tactics,0,1,2
Lucifer: Season 5,27,59,24
Lucifer: Season 6,27,59,24
Lulli,2,62,157
Lupin: Part 2,3,15,5
Maid: Limited Series,34,30,23
Maldivas: Season 1,58,118,97
Maya and the Three: Limited Series,0,3,2
Men in Black: International,0,1,0
Metal Lords,2,27,16
Midnight Mass: Limited Series,48,52,30
Mine: Season 1,1,6,7
Money Heist: Part 1,2,26,1
Money Heist: Part 4,2,26,1
Money Heist: Part 5,2,26,1
Mother/Android,1,2,0
Munich â The Edge of War,0,0,1
My Name: Season 1,16,28,25
Never Have I Ever: Season 2,15,11,4
Night Teeth,0,1,0
No One Gets Out Alive,0,1,1
Noah,3,284,24
Non-Stop,0,5,2
One of Us Is Lying: Season 1,8,5,2
ONE PIECE: Sky Island: Skypiea,70,443,124
One-Punch Man: Season 2,1,90,7
Open Your Eyes: Season 1,0,9,1
Operation Mincemeat,0,1,0
Outer Banks: Season 1,42,44,32
Outer Banks: Season 2,43,44,32
Ozark: Season 4,44,63,51
Pacific Rim,1,0,3
PAW Patrol: Season 4,1,1,1
PAW Patrol: Season 6,1,1,1
Peaky Blinders: Season 6,54,189,66
Photocopier,0,1,0
PIECES OF HER: Season 1,1,4,0
Prey,2,6,0
Raising Dion: Season 2,2,5,0
Rebelde: Season 1,146,526,243
Red Notice,2,13,17
Redemption,0,1,0
Redemption Day,0,1,0
Resort to Love,1,1,0
Restless,1,7,0
Riverdale: Season 5,360,529,224
Rurouni Kenshin: The Beginning,0,2,1
SAS: Rise of the Black Swan,0,1,0
Seal Team,4,2,0
Security,5,42,9
Senior Year,0,1,4
Sex Education: Season 1,155,297,175
Sex Education: Season 3,155,296,176
Sex/Life: Season 1,42,54,17
Sharkdog: Season 1,0,2,0
Silverton Siege,0,0,1
Sintonia: Season 2,48,53,39
Skylines,1,0,0
Sonic the Hedgehog,4,40,18
Spider-Man,164,1043,262
Spider-Man 3,0,10,0
Spider-Man: Homecoming,0,8,0
Spider-Man: Into the Spider-Verse,0,5,2
Spiderhead,2,5,3
Squid Game: Season 1,71,160,51
Stay Close: Limited Series,1,2,1
Stranger Things,1191,1919,727
Stranger Things 2,1192,1919,728
Stranger Things 3,1195,1917,725
Stranger Things 4,1194,1916,727
Summer Heat: Season 1,0,1,0
Superfly,0,1,1
Sweet Girl,0,3,2
Sweet Magnolias: Season 2,6,10,3
Sweet Tooth: Season 1,2,27,11
TÃ´ Ryca,1,7,4
Taboo: Season 1,4,6,2
Tall Girl 2,1,2,4
Texas Chainsaw Massacre,10,7,4
The 100: Season 7,50,74,38
The Adam Project,1,5,11
The Blacklist: Season 8,16,128,22
The Chestnut Man: Season 1,0,3,1
The Clovehitch Killer,0,1,0
THE CRAZIES,0,1,0
The Dead Don't Die,1,0,0
The Equalizer 2,0,0,1
The Father Who Moves Mountains,0,1,1
The Flash: Season 7,34,181,30
The Guilty,0,3,3
The Harder They Fall,2,13,13
The In Between,2,4,1
The Intruder,0,1,0
The King's Affection: Season 1,4,17,5
The Kissing Booth 3,3,7,7
The Last Kingdom: Season 5,12,29,21
The Last Letter From Your Lover,0,4,2
The Lincoln Lawyer: Season 1,2,1,0
The Lost Daughter,2,8,12
The Mask,0,4,0
The Pirates: The Last Royal Treasure,0,1,0
The Possession of Hannah Grace,0,0,1
The Power of the Dog,5,32,42
The Princess Switch 3: Romancing the Star,0,1,0
The Royal Treatment,0,0,1
The Salvation,0,1,0
The Seven Deadly Sins: Dragon's Judgement,1,5,0
The Silent Sea: Season 1,5,9,7
The Sinner: Season 4: Percy,14,42,19
The Starling,0,1,0
The Swarm,1,2,1
The Tinder Swindler,4,9,0
The Trip,0,2,1
The Umbrella Academy: Season 1,60,109,65
The Umbrella Academy: Season 3,60,108,66
The Unforgivable,4,8,7
The Wasteland,0,1,0
The Weekend Away,0,2,0
The Whole Truth,0,1,0
The Witcher: Nightmare of the Wolf,1,5,3
The Witcher: Season 1,64,246,116
The Witcher: Season 2,64,246,116
There's Someone Inside Your House,1,2,2
Titans: Season 3,41,60,29
Too Hot to Handle: Brazil: Season 1,3,3,1
Too Hot to Handle: Season 2,1,3,3
Toscana,2,15,3
Toy Boy: Season 1,23,34,14
Toy Boy: Season 2,23,34,14
Trollhunters: Rise of the Titans,0,1,0
Trolls,2,4,2
Troy,0,7,1
True Story: Limited Series,6,18,3
Trust,0,21,6
Two,0,6,2
Valeria: Season 2,3,9,3
Van Helsing: Season 5,11,12,5
Venom,18,235,55
Vikings: Valhalla: Season 1,18,36,16
Virgin River: Season 3,18,35,32
Vivo,102,148,33
Warcraft,2,37,11
Welcome to Eden: Season 1,1,1,1
What Men Want,1,0,0
Yakuza Princess,0,1,0
Yara,3,3,2
You: Season 1,60,116,51
You: Season 2,60,115,52
You: Season 3,60,116,51
