video_title,neg_sentiment_fr,neu_sentiment_fr,pos_sentiment_fr
14 Peaks: Nothing Is Impossible,1,0,0
365 Days,0,4,0
365 Days: This Day,2,3,1
A Castle For Christmas,0,1,0
A Star Is Born,5,26,15
Afterlife of the Party,0,0,1
Aftermath,0,1,2
Alice in Borderland: Season 1,1,6,4
All of Us Are Dead: Season 1,5,10,7
Alpha,7,32,8
AlRawabi School for Girls: Season 1,2,2,1
Anatomy of a Scandal: Limited Series,0,2,3
Ang̬le,9,33,20
Aquaman,0,6,1
Arcane: Season 1,30,69,71
Archive 81: Season 1,7,12,7
Army of the Dead,1,2,1
Army of Thieves,2,5,2
As the Crow Flies: Season 1,1,0,0
Atypical: Season 4,4,6,4
Baki Hanma: Season 1,0,1,0
Barbecue,3,70,15
Baywatch,0,7,3
Beckett,3,7,2
Bigbug,3,7,3
BlacKkKlansman,1,0,2
Blasted,0,1,0
Blended,0,1,0
Blood Red Sky,2,1,1
Brazen,1,1,0
Bridgerton: Season 1,9,39,12
Bridgerton: Season 2,9,39,12
Brightburn,0,1,0
Britney Vs Spears,4,5,1
Bubble,3,7,5
Budapest,2,22,3
Carbon,8,19,4
Christmas Flow: Season 1,0,14,5
Clark: Limited Series,0,1,2
Clickbait: Limited Series,1,5,4
Cobra Kai: Season 4,3,18,9
Collision,0,1,1
Cowboy Bebop: Season 1,6,13,6
Deliver Us from Evil,0,0,1
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",0,2,1
Don't Look Up,132,228,94
Downton Abbey: Series 1,7,18,11
Downton Abbey: Series 2,7,17,12
Dynasty: Season 4,3,9,6
Elite: Season 1,17,26,9
Elite: Season 4,17,26,9
Elite: Season 5,17,26,9
Elves: Season 1,1,3,0
Emily in Paris: Season 2,23,139,35
Entre Amis,1,18,2
Escape Room,0,1,4
Family Business: Season 3,8,9,9
Fatherhood,4,3,2
First Kill: Season 1,0,5,4
Fistful of Vengeance,0,1,0
Friendzone,0,5,1
Furioza,0,1,0
Game Night,0,1,1
Glamour Girls,0,4,1
Good Girls: Season 4,3,4,4
Halloween,57,521,171
Hanna,1,0,0
He's All That,1,0,3
Heartstopper: Season 1,25,202,123
Heat,4,24,5
Hellbound: Season 1,4,4,2
Hollow Man,0,2,1
Home Team,0,3,3
How to Sell Drugs Online (Fast): Season 3,0,1,0
Hustle,1,5,5
Hypnotic,0,1,0
In From the Cold: Season 1,0,1,0
Interceptor,2,2,2
Intimacy: Season 1,0,13,0
Intrusion,1,1,1
Inventing Anna: Limited Series,2,8,5
Jack Reacher,1,2,1
Jurassic World: Fallen Kingdom,1,5,1
Justice League,4,10,4
Kate,0,5,9
Kingdom: Ashin of the North,1,0,1
Kitz: Season 1,1,1,1
Let's Dance,1,17,10
Lionheart,0,0,1
Lockout,0,1,0
LOL,31,214,34
Lolo,0,1,0
Lost in Space: Season 1,1,5,0
Lost in Space: Season 2,1,5,0
Lost in Space: Season 3,1,5,0
Love Hard,0,3,7
Lucifer: Season 5,6,225,113
Lucifer: Season 6,6,225,113
Lupin: Part 2,6,18,12
Maid: Limited Series,0,3,1
Man on Fire,0,1,2
Manifest: Season 1,17,72,95
Metal Lords,0,1,0
Midnight Mass: Limited Series,5,7,3
Money Heist: Part 1,1,6,0
Money Heist: Part 4,1,6,0
Money Heist: Part 5,1,6,0
Mortel: Season 2,3,3,3
Mother/Android,1,0,0
Mr. Robot: Season 1,5,16,10
My Name: Season 1,1,4,3
Narcos: Mexico: Season 3,2,3,7
Never Have I Ever: Season 1,1,2,3
Never Have I Ever: Season 2,1,2,3
New Amsterdam: Season 1,6,12,8
New Amsterdam: Season 2,6,12,8
Neymar: The Perfect Chaos: Limited Series,0,0,1
Night Teeth,0,1,0
Noah,1,2,1
On My Block: Season 4,12,2,1
One of Us Is Lying: Season 1,2,0,0
Outer Banks: Season 1,9,5,4
Outer Banks: Season 2,9,5,4
Outlander: Season 6,77,86,81
Outlaws,1,0,0
Ozark: Season 1,6,10,13
Ozark: Season 4,6,10,13
PAW Patrol: Season 3,2,6,4
PAW Patrol: Season 5,2,6,4
Peaky Blinders: Season 1,7,54,23
Peaky Blinders: Season 6,7,54,23
PIECES OF HER: Season 1,0,1,1
Pok̩mon Detective Pikachu,1,2,0
Prey,2,4,0
Problemos,1,3,1
Queen of the South: Season 1,0,0,1
Queen of the South: Season 5,0,0,1
Rampage,1,5,2
Red Notice,3,10,9
Restless,1,0,0
Room,0,9,4
S.W.A.T.: Season 1,13,39,17
S.W.A.T.: Season 2,13,39,17
SAS: Rise of the Black Swan,0,0,3
Savage Beauty: Season 1,1,0,0
Schumacher,4,11,7
Security,17,36,11
Senior Year,0,0,6
Sex Education: Season 1,22,32,24
Sex Education: Season 2,22,32,24
Sex Education: Season 3,22,32,24
Sex/Life: Season 1,15,15,1
Sh̩h̩razade,1,1,2
SHAMAN KING: Season 1,0,10,3
Shazam!,0,6,5
Silverton Siege,0,1,0
Sky Rojo: Season 2,1,1,4
Skyscraper,1,7,1
Slender Man,2,0,0
Snowpiercer: Season 3,3,5,2
Sous le m̻me toit,0,1,1
Spider-Man,32,265,108
Spider-Man 3,0,2,0
Spider-Man: Homecoming,0,2,0
Spider-Man: Into the Spider-Verse,0,5,1
Spiderhead,0,2,0
Squid Game: Season 1,96,233,68
Stay Close: Limited Series,0,0,2
Stealth,1,2,0
Stranger Things,67,182,115
Stranger Things 2,66,184,114
Stranger Things 3,66,184,114
Stranger Things 4,66,184,114
Summer Heat: Season 1,0,1,0
Surviving Summer: Season 1,0,0,1
Sweet Girl,0,0,1
Sweet Tooth: Season 1,0,4,2
Tall Girl 2,0,1,0
Texas Chainsaw Massacre,2,5,2
The Adam Project,0,1,1
The Amazing Spider-Man,0,12,3
The Amazing Spider-Man 2,0,1,1
The Blacklist: Season 7,0,3,0
The Bubble,1,0,0
The Dead Don't Die,0,2,1
The Flash: Season 6,8,29,7
The Game,0,3,1
The Good Doctor: Season 1,1,4,7
The Good Doctor: Season 2,1,4,7
The Guilty,0,3,6
The Harder They Fall,1,3,6
The In Between,0,0,1
The Kissing Booth 3,4,3,3
The Last Kingdom: Season 1,0,6,7
The Last Kingdom: Season 5,0,6,7
The Lost Daughter,0,1,2
The Magnificent Seven,0,1,0
The Mist,0,4,0
The Nun,1,2,0
The Patriot,0,1,0
The Power of the Dog,6,14,10
The Privilege,1,0,0
The Punisher,2,5,0
The Royals: Season 1,0,1,2
The Seven Deadly Sins: Dragon's Judgement,0,1,0
The Silent Sea: Season 1,1,3,4
The Sinner: Season 3: Jamie,2,2,0
The Tinder Swindler,1,1,1
The Umbrella Academy: Season 1,3,6,3
The Umbrella Academy: Season 3,3,6,3
The Walking Dead: Season 10,13,38,44
The Wasteland,1,0,0
The Witcher: Nightmare of the Wolf,1,1,2
The Witcher: Season 1,10,63,46
The Witcher: Season 2,10,63,46
This Is the End,1,3,3
Titans: Season 1,2,10,8
Titans: Season 3,2,10,8
Tomb Raider,0,13,7
Too Hot to Handle: Season 2,2,2,1
Too Hot to Handle: Season 3,2,2,1
Top Boy: Season 1,0,4,5
Top Boy: Season 2,0,4,5
Toscana,0,4,1
Toy Boy: Season 1,0,2,1
Toy Boy: Season 2,0,2,1
Transporter 3,0,0,1
Trollhunters: Rise of the Titans,0,0,1
True Story: Limited Series,18,50,8
Twilight,2,20,9
Undercover: Season 3,0,5,1
Upgrade,0,5,2
Us,63,149,13
Valeria: Season 2,1,1,2
Venom,6,42,14
Vikings: Valhalla: Season 1,1,8,2
Virgin River: Season 3,1,1,2
Vivo,1,9,2
Workin' Moms: Season 6,2,0,0
World Trade Center,30,32,6
World War Z,0,3,1
Worth,1,1,1
Yakamoz S-245: Season 1,1,2,0
Yara,0,10,2
You Don't Know Me: Season 1,0,0,1
You: Season 1,8,34,19
You: Season 3,8,34,19
